1;Juguete Perro;Perro;10.0;0;true
2;Arena Gato;Gato;15.0;38;false
3;Comedero Perro;Perro;18.0;12;false
4;Caseta Pajaro;Pajaro;60.0;4;false
5;Rueda Hamster;Roedor;20.0;0;true
6;Jaula Hamster;Roedor;35.0;5;false
7;Cama Gato;Gato;30.0;8;false
8;Arnes Perro;Perro;22.0;13;false
9;Comida Roedor;Roedor;7.0;50;false
10;Juguete Pajaro;Pajaro;12.0;18;false
11;Transportin Perro;Perro;55.0;7;false
12;Rascador Gato;Gato;45.0;0;true
13;Caseta Perro;Perro;75.0;6;false
14;Comedero Gato;Gato;20.0;15;false
15;Hamaca Pajaro;Pajaro;25.0;12;false
16;Cama Roedor;Roedor;15.0;20;false
17;Juguete Gato;Gato;18.0;19;false
18;Bolsa Comida Perro;Perro;40.0;18;false
19;Jaula Pajaro;Pajaro;50.0;0;true
20;Rueda Roedor;Roedor;12.0;30;false
21;Transportin Gato;Gato;60.0;5;false
22;Juguete Perro;Perro;10.0;0;true
23;Arena Gato;Gato;15.0;40;false
24;Comedero Perro;Perro;18.0;12;false
25;Caseta Pajaro;Pajaro;60.0;4;false
26;Rueda Hamster;Roedor;20.0;0;true
27;Jaula Hamster;Roedor;35.0;5;false
28;Cama Gato;Gato;30.0;8;false
29;Arnes Perro;Perro;22.0;13;false
30;Comida Roedor;Roedor;7.0;50;false
31;Juguete Pajaro;Pajaro;12.0;18;false
32;Transportin Perro;Perro;55.0;7;false
33;Rascador Gato;Gato;45.0;0;true
34;Caseta Perro;Perro;75.0;6;false
35;Comedero Gato;Gato;20.0;15;false
36;Hamaca Pajaro;Pajaro;25.0;12;false
37;Cama Roedor;Roedor;15.0;20;false
38;Juguete Gato;Gato;18.0;19;false
39;Bolsa Comida Perro;Perro;40.0;18;false
40;Jaula Pajaro;Pajaro;50.0;0;true
41;Rueda Roedor;Roedor;12.0;30;false
42;Transportin Gato;Gato;60.0;5;false
